Neurog3>0_raw,Neurog3>0_scaled,cell,cell_ontology_class,cell_ontology_id,cluster.ids,free_annotation,mouse.id,mouse.sex,plate.barcode,subsetA,subsetA_cluster.ids,subsetB,subsetB_cluster.ids,subsetC,subsetC_cluster.ids,subsetD,subsetD_cluster.ids,subsetE,subsetE_cluster.ids,subtissue,tissue,tissue_tSNE_1,tissue_tSNE_2
,,L18.B002010.3_39_F.1.1,fibroblast,CL:0000057,0,fibroblast,3_39_F,F,B002010,False,,,,,,,,,,RA,Heart,8.306852079460402,-4.268288260659215
,,L18.B002011.3_38_F.1.1,fibroblast,CL:0000057,3,fibroblast,3_38_F,F,B002011,False,,,,,,,,,,RA,Heart,0.5322141549496515,-13.504807743218064
,,L18.B002421.3_39_F.1.1,myofibroblast cell,CL:0000186,7,Myofibroblast,3_39_F,F,B002421,True,3.0,,,,,,,,,LV,Heart,-15.096219419148145,-36.124760733380384
,,L18.B002423.3_39_F.1.1,fibroblast,CL:0000057,0,fibroblast,3_39_F,F,B002423,False,,,,,,,,,,RV,Heart,7.7240099450686435,-0.09700174129751624
,,L18.B002427.3_39_F.1.1,fibroblast,CL:0000057,3,fibroblast,3_39_F,F,B002427,False,,,,,,,,,,LA,Heart,2.3390549811116133,-5.76224660750532
,,L18.B002428.3_38_F.1.1,fibroblast,CL:0000057,3,fibroblast,3_38_F,F,B002428,False,,,,,,,,,,LA,Heart,-7.027668310847619,-18.856058412476145
,,L18.MAA000399.3_9_M.1.1,endothelial cell,CL:0000115,5,endothelial cell,3_9_M,M,MAA000399,False,,,,,,,,,,RV,Heart,-15.597640540725589,21.18309113075825
,,L18.MAA000400.3_8_M.1.1,fibroblast,CL:0000057,1,fibroblast,3_8_M,M,MAA000400,False,,,,,,,,,,LA,Heart,19.230037948008373,25.80806217200005
,,L18.MAA000452.3_8_M.1.1,fibroblast,CL:0000057,1,fibroblast,3_8_M,M,MAA000452,False,,,,,,,,,,RV,Heart,13.05405393560472,28.45316539928684
,,L18.MAA000901.3_10_M.1.1,endothelial cell,CL:0000115,2,endothelial cell,3_10_M,M,MAA000901,False,,,,,,,,,,RV,Heart,-34.61430012494761,-0.5476537814254971
,,L18.MAA000903.3_11_M.1.1,myofibroblast cell,CL:0000186,7,Myofibroblast,3_11_M,M,MAA000903,True,2.0,,,,,,,,,RA,Heart,-8.915824762381543,-37.417123283420636
,,L18.MAA000919.3_10_M.1.1,endocardial cell,CL:0002350,8,endocardial cell,3_10_M,M,MAA000919,False,,,,,,,,,,LA,Heart,41.16391676534745,-10.17398330035772
