1_emb1,1_emb2,ID
9.3930298595856,-1.1804825665220091,1
-4.314719030337496,-0.6837303640111754,2
-8.74457008548276,-8.609953582452185,3
2.4435416965912147,11.829410850836389,4
-9.820041963534518,-9.179353416131384,5
-8.218163797335787,6.073301613165491,6
5.502971818966703,-3.843490064309485,7
3.2499753742645545,-9.690684020684607,8
2.8285788803528114,10.960971176458948,9
-6.627215692477389,-4.5878784062131714,10
-4.1796816081573205,-7.343191802667029,11
-6.008962461428805,-0.259481728242285,12
-7.371311971621676,8.841683685614221,13
3.326284339947538,-11.695415198968298,14
11.540855100674467,4.820723831488245,15
-4.981245347933932,-1.8026445509656737,16
-6.601891824679537,4.795277893377893,17
3.348332336468534,11.758149444891565,18
-7.106191465335055,3.4600787757173705,19
2.5112439899872108,12.509622871710413,20
1.9743298798034952,12.227085411383264,21
-5.807881662326022,-0.20456367747629378,22
0.29977337114317865,8.795598327948206,23
-5.792393037753268,-0.8388730289205382,24
-4.28187305636899,-1.555360019372351,25
-7.7455104083587365,6.5333679316774536,26
-7.081525155978365,-1.376361668275244,27
-7.021625349002047,-6.658309638665564,28
0.42322229437334985,11.53781634552633,29
-7.538221666293307,8.415097534491174,30
-8.898218461947604,-9.996747672723181,31
-7.438024351077242,-9.507428825066931,32
-8.364780733065768,7.647193252874963,33
10.682399442715482,2.9663370250002075,34
-8.383823701815768,1.6361431477800539,35
-7.772721597628756,-9.532175719903357,36
8.595237424893217,3.8765447734132934,37
1.2312485485504434,-2.0832797886594605,38
-4.124903032260104,-6.52303284423197,39
-7.361312219576998,2.544226705862634,40
-8.715436288790865,-7.607174098657019,41
3.8930703907440467,-8.5372063519224,42
1.337116530461149,11.156173050238245,43
-6.686229536013766,-9.684997260735877,44
-5.009462186770602,-4.005899131463416,45
-6.322593996005221,-0.8552277089818785,46
3.688962152523832,-8.506774604485877,47
-6.119051286654635,-4.567074001000769,48
2.3747197895477576,-8.81382817046488,49
11.397432973904447,3.0976710913911987,50
1.1624180584381387,-2.527149856255896,51
10.693130186123685,4.562029659582727,52
10.689106634182767,0.6612228153482607,53
1.532253077549772,10.521111786200159,54
-7.882349321322604,-8.961364448235877,55
-7.345007726626559,4.632950126959436,56
-8.45184261508481,-7.295361697839148,57
-9.034515687899752,-10.329154670403845,58
10.886747053189115,1.996780216528528,59
-5.006536313967867,-6.054598510430701,60
-8.88118774600522,5.626492798163049,61
-6.2441042155791955,-2.190209567712195,62
0.5636592715214058,-6.275546252892859,63
-7.353466817813082,-8.561102569268591,64
10.738510778469877,3.3145292399660278,65
1.0419931917618082,-2.4515101315244507,66
-5.789855310397311,10.89381343109762,67
-7.819151231722994,5.3030355571047,68
3.6352295189331336,-9.721293151543982,69
-0.878971049266024,9.469225227667444,70
7.585700204891996,-2.178528487847693,71
-8.067445108370944,-9.180115401910193,72
-8.71909172244565,2.6533330081239868,73
3.266991308255033,12.076984703375452,74
11.166080167813139,4.701365768744104,75
3.8786849289367957,-11.554019630120642,76
-7.891420194583102,-9.659973800347693,77
1.6336299686859415,9.635012924505823,78
-9.536430665927096,-9.569030463860877,79
2.1830519943664832,-12.497455299065955,80
9.583136251492338,2.5630186198488403,81
-5.955583879428072,-7.19716614501322,82
9.448973348660306,-0.7704376579984495,83
2.7174345760772987,-12.37713783995951,84
-9.735402414279147,-8.447817504571326,85
-8.43752319522397,11.995056450201623,86
-9.924205133395358,-8.934228599236853,87
7.879612138790922,-1.4975895287259886,88
6.910710981411771,1.5704337952867677,89
-5.489262887911959,-3.0829667450651,90
-6.350019285159274,-4.6096541287168336,91
-4.839174100833102,-3.3887495400174927,92
5.787886312527494,-3.8027388455137086,93
11.371906927151517,4.980337917639368,94
2.895129850430326,-15.664106071160681,95
8.402336767239408,-1.5189102293714354,96
-4.72561199374692,1.2673060296312502,97
-2.0360792369415,9.216966926886194,98
12.59021060757144,3.3761547206178832,99
10.710035970730619,0.7545707820192507,100
5.5001537113617225,2.060498177839868,101
3.7411231308410926,11.917060196234338,102
-7.4023450107146935,5.808199226690881,103
-5.577855894045992,-4.998441398309119,104
6.270959070248441,-4.029880702660925,105
0.7769808679054543,-1.930892884896643,106
-4.801532098727389,10.880523025824182,107
10.048979452175931,1.4636196492448976,108
-6.698866197543307,-7.1699730755552125,109
-4.0278051585723595,-7.48829334990824,110
-9.17651302524106,-8.568569839166052,111
1.4933138399551675,11.968731224371545,112
-5.75709564395444,-9.045406997369177,113
-8.375562974887057,-7.7488448025449586,114
-7.316397497134371,2.5460208056703735,115
-3.8758767337371545,-5.561398208306677,116
