1_emb1,1_emb2,2_emb1,2_emb2,3_emb1,3_emb2,4_emb1,4_emb2,5_emb1,5_emb2,ID
15.361904242049171,-8.751229470649026,-1.7471139502312432,0.4640622413319326,-0.0036274995601427353,-0.015026016490331294,-10.250524520874023,-0.9577878713607788,-1.6852229833602905,1.4812839031219482,1
17.671885478668123,-16.119329704642492,-7.122794754483868,-4.879732879384163,-0.021377897937865875,-0.0027027462597057493,-24.982946395874023,-18.064239501953125,-7.654524803161621,-9.668496131896973,2
-19.139966583158753,-1.9663883508502324,1.537393443605732,7.088035312907097,-0.011678115650810575,8.081359514914614e-4,8.1497955322265625,-19.777437210083008,-11.107719421386719,-1.2724432945251465,3
-19.216031985293274,-2.298179590977891,1.4544216323111763,7.122413841502068,-0.011674860449107583,8.099145307546361e-4,8.766101837158203,-18.94529151916504,-11.140652656555176,-1.1370872259140015,4
-18.98509169493662,-2.0578843167172254,1.5335453677390327,7.067327228800652,-0.011649271325572176,7.12380681141062e-4,8.852069854736328,-18.910438537597656,-11.050675392150879,-1.117931842803955,5
-18.956473543591198,-1.8431615649927402,1.6010667014334907,7.011367527262566,-0.011763563830421122,3.72014611227417e-4,8.28467845916748,-19.362009048461914,-11.0770845413208,-1.2578179836273193,6
-18.8279796378841,-2.2662961915647286,1.5179976153586616,7.051088062540886,-0.011507782366810652,2.764247683703806e-4,8.978608131408691,-18.550981521606445,-10.916252136230469,-1.0389214754104614,7
-18.39071526121666,-2.8106228141905976,1.4840873408530464,7.093490806834099,-0.010683480938820896,-0.002518931091870024,8.984646797180176,-18.140295028686523,-10.720105171203613,-0.9239948391914368,8
-17.703925692517636,-2.2940606299883335,1.6618286299918403,7.00927802683532,-0.010356000617904669,-0.004131730038294622,8.94629955291748,-17.681535720825195,-10.635964393615723,-0.8857548832893372,9
-17.450601624730957,-2.3060032015717176,1.7562378573630562,6.945274082438347,-0.010260405518214466,-0.004534341930349141,8.829976081848145,-17.10407829284668,-10.443657875061035,-0.9048202633857727,10
-12.560738560152954,-4.522167795034015,-2.6846672367836724,0.5859977877300955,-0.006057508897041283,-0.010620882588159802,9.834126472473145,-12.044451713562012,-8.220053672790527,-0.7541308403015137,11
6.849132050814806,-1.5500085475777605,-2.6263266873146782,0.7000651037853933,0.002586923843186082,-0.01615616825168525,2.125002145767212,6.772466659545898,-2.4593663215637207,1.932898759841919,12
6.941767952851407,-1.4309541768483283,-2.672899491765667,0.83176657320678,0.0026827084170319908,-0.016519559873699387,1.4753754138946533,7.84234094619751,-2.675274133682251,1.8763219118118286,13
6.989373477456915,-1.3720398132618377,-2.6391354870583306,0.7536253607434011,0.0013099778074925899,-0.01649498026503086,1.1889452934265137,6.917359828948975,-2.714552879333496,2.091007709503174,14
13.137566703628238,-4.274538389476379,-7.591040260770489,-4.4748089635211254,-0.002658190506156414,-0.015678025764602095,-3.817572593688965,6.4544358253479,-2.8389551639556885,2.3312902450561523,15
-10.110771892997336,-3.3197050587668486,-2.889631636121441,0.09941586615264181,-0.005814014031728615,-0.013662206483080832,5.272412300109863,-8.067769050598145,-7.605459690093994,-0.9981080889701843,16
16.02005171824284,-10.529536205507886,-7.638327724912335,-4.400087150319221,-0.017287331728745563,-0.0058390876093419326,-24.01754379272461,-3.527233123779297,-10.581539154052734,-8.148604393005371,17
16.787711431455335,-12.231939587063565,-7.439617760160138,-4.585420879109504,-0.019722001787200485,-0.003239014028609399,-26.8830509185791,-5.234993934631348,-10.309717178344727,-8.621125221252441,18
16.163960490284076,-11.37148900434897,-7.663100845792462,-4.401740344746711,-0.017204141322492948,-0.0058884013999426785,-25.670204162597656,-4.277243137359619,-10.531028747558594,-8.29965877532959,19
15.81494860852525,-10.969864038337265,-7.579911835172345,-4.4254458272296215,-0.017389509192679953,-0.005786193487111748,-24.51000213623047,-3.6139144897460938,-10.497164726257324,-8.125341415405273,20
16.298863554308,-12.266320567403056,-7.486625797727276,-4.471042426808479,-0.019065917015558514,-0.00356064680758721,-26.70951271057129,-4.863122463226318,-10.254842758178711,-8.527868270874023,21
16.742006873157358,-12.943340458137822,-7.383727676847149,-4.593312057240608,-0.02000808226316407,-0.0027405437948609846,-27.894119262695312,-6.907722473144531,-10.049454689025879,-8.814998626708984,22
16.668385214296425,-12.745032804225582,-7.432478077390362,-4.560397418721321,-0.019798093261933648,-0.0028549656257448163,-28.069175720214844,-6.066304683685303,-10.16734790802002,-8.6644439697265625,23
11.983886233036834,-13.878581290781597,-6.617783195951153,-2.7875018441516186,-0.01689615525462749,-0.008501067124902577,-15.048469543457031,-7.803959369659424,-8.544380187988281,-5.3662495613098145,24
11.578958580539444,-15.223719953090988,-6.625946171262433,-2.954065831883552,-0.01875824172384324,-0.007106726358732705,-18.127880096435547,-7.392125606536865,-8.3278045654296875,-6.27894401550293,25
12.224757660349947,-12.020008797362857,-6.741255886533429,-2.849617751820686,-0.012641657896490731,-0.010874159835911848,-13.503210067749023,-5.5855817794799805,-8.79534912109375,-5.3725128173828125,26
15.307958283505716,-11.362434399551077,-7.567103989103009,-4.353537114842537,-0.017304624923521392,-0.006081720526819585,-24.359933853149414,-4.421276092529297,-10.294173240661621,-7.769776344299316,27
15.513911378293363,-11.285474919227987,-7.583661682584454,-4.362775119526985,-0.017333749131861375,-0.005958148223563341,-24.36864471435547,-3.8859336376190186,-10.561176300048828,-8.122164726257324,28
16.295420542638023,-12.572345298800725,-7.408248074033429,-4.488598140462043,-0.019317818740549685,-0.0033653489972752765,-26.72577667236328,-5.485352993011475,-10.164741516113281,-8.486978530883789,29
16.444307327347452,-12.935141552066218,-7.358540184476544,-4.543481620534065,-0.02003587571979701,-0.0026807733647300647,-27.467126846313477,-5.864247798919678,-10.09322738647461,-8.635233879089355,30
15.042500806837335,-11.684716823707713,-7.45863354919212,-4.207777055485847,-0.016758170751061903,-0.006783329943141346,-23.390817642211914,-4.368940353393555,-10.19494342803955,-7.610878944396973,31
15.80478052940574,-12.119960587620328,-7.513645298459698,-4.408999475224617,-0.017836653703762466,-0.00522728486067882,-25.90093421936035,-4.658137798309326,-10.283557891845703,-8.219982147216797,32
12.161527073976046,-16.923603560626404,-6.587682850339581,-3.723789485676887,-0.02243511096414242,-0.002927817575584819,-22.033044815063477,-8.624780654907227,-8.69648265838623,-7.280343055725098,33
13.364284751341701,-18.673453068487444,-6.381524212339093,-4.404141458256843,-0.025206108081568906,9.70424045136077e-4,-25.922096252441406,-11.016075134277344,-8.824036598205566,-8.449451446533203,34
13.242028170123092,-18.004743055694398,-6.476826317289044,-4.307601484044197,-0.02500283753234666,4.5142856383509084e-4,-25.71880340576172,-11.06103515625,-8.748096466064453,-8.171478271484375,35
12.446539921128888,-17.6351055064318,-6.502558357694317,-4.2285945737201,-0.023919797942231594,-9.943986651324453e-4,-25.34566307067871,-9.980154037475586,-8.808101654052734,-8.105233192443848,36
12.066345707550441,-12.397111656446354,-6.69397986648338,-2.7763810479480053,-0.012231599309477339,-0.01109286937877501,-13.660563468933105,-6.655580520629883,-8.669178009033203,-5.456066608428955,37
12.565222098887473,-12.419049305240495,-6.7442814183022275,-3.0748758637744213,-0.012347055004017497,-0.010936074903752962,-17.31386375427246,-5.426365852355957,-9.015317916870117,-6.022311210632324,38
13.563745223013232,-12.554830331860725,-6.910131103971173,-3.502518209202888,-0.015418014515401177,-0.008518623798511104,-21.473613739013672,-6.270390510559082,-9.666242599487305,-7.188495635986328,39
14.751859267144305,-13.092129987405023,-6.891871101834942,-4.187614473088386,-0.016777843426794566,-0.007608624758552586,-24.57324981689453,-6.948763370513916,-9.529579162597656,-7.692513942718506,40
15.228445829480618,-13.29063661962083,-7.050267822721173,-4.405658038838508,-0.01791160184798895,-0.006581597544123028,-25.226375579833984,-7.015628337860107,-9.510444641113281,-7.928868770599365,41
16.467357820966647,-14.131643153522017,-7.065985329129864,-4.773302825673225,-0.020687470036078966,-0.003415315550170258,-28.252004623413086,-8.3670806884765625,-9.560121536254883,-8.809998512268066,42
13.062075699022817,-18.813172991827507,-6.448828823545147,-4.411679776890876,-0.02544767129645111,0.001322010440314378,-26.464670181274414,-11.407370567321777,-8.847004890441895,-8.564367294311523,43
11.528274069157252,-17.768074966732094,-6.490152962186505,-4.494733127339485,-0.02373331220751196,-0.0011333710877466778,-23.954612731933594,-10.073805809020996,-8.922140121459961,-8.038846015930176,44
15.213636488447053,-21.077855449266988,-6.457048065641095,-5.2311685407000805,-0.028163443102785655,0.0053083223018958615,-29.091663360595703,-17.038541793823242,-8.415358543395996,-9.751142501831055,45
13.183500982650914,-20.047258425410206,-6.4399224591042294,-5.078805717213752,-0.025985834335777572,0.0027902297061056795,-26.964208602905273,-11.636805534362793,-8.826764106750488,-8.966548919677734,46
13.55687770958387,-20.411149723950107,-6.442332870938946,-5.14360454915345,-0.026705100722097905,0.0037349386309618706,-28.59897804260254,-14.05257797241211,-8.622292518615723,-9.322928428649902,47
3.685312390287949,-13.830959530326437,-5.751880772092511,-0.8158772015410685,-0.011844112561053301,-0.013377147438449019,-9.08143138885498,-12.388092041015625,-5.910156726837158,-5.064059734344482,48
3.4253407000431633,-12.217332004722454,-5.359161026456524,-0.3866737285095477,-0.007903321642513264,-0.01524593632622938,-5.883831024169922,-6.89885139465332,-6.312306880950928,-3.9559571743011475,49
3.3952706549267107,-12.540687608830831,-5.485265858152081,-0.5119690769749903,-0.008366931661751427,-0.015202293658132226,-7.126123905181885,-7.628323078155518,-6.03277063369751,-4.392208576202393,50
-4.501181294105503,-20.433073835997906,-5.1366554569985166,-2.748167785390022,-0.005867164468701573,-0.009433408223049146,-8.80967903137207,-24.263154983520508,-0.5095916390419006,-7.467189788818359,51
-4.9628724262192945,-21.163781071189867,-5.131775028684308,-2.802045854313972,-0.00764616060189385,-0.0064974072202166645,-9.713144302368164,-26.241390228271484,-0.5299515724182129,-7.69407320022583,52
-4.709492139963133,-19.776235793484283,-5.123191006162335,-2.7510285699206616,-0.004923333353898378,-0.011440872752761065,-5.6133623123168945,-16.753232955932617,-0.8596868515014648,-6.9137420654296875,53
-5.711292472628956,-22.01490337842552,0.94837021114571,8.345640865580437,-0.004694594493166905,-0.004447423315742417,-5.948169708251953,-30.539167404174805,0.02657334692776203,-8.019768714904785,54
