name_of_the_layout,nldr_method,hyper_parameters
1,UMAP,"n_neighbors = 30, min_dist = 0.3"
2,UMAP,"n_neighbors = 15, min_dist = 0.1"
3,UMAP,"n_neighbors = 43, min_dist = 0.5"
