1_emb1,1_emb2,2_emb1,2_emb2,3_emb1,3_emb2,ID
6.167,7.345,-0.14527177670208383,11.362681571018113,-6.505719612668655,-1.9043222125966863,1
-5.919,7.412,1.0578395440319401,-3.9074223604088885,1.3344043983710785,-2.946547811885627,2
4.829,6.658,-1.3936813757678645,10.406037512790574,-7.2758492933022,0.1406715456049128,3
5.481,7.316,-0.7682358310481684,11.592632475864304,-6.014186810086868,-1.6769524272878484,4
-0.9468,4.001,-4.308173029210248,3.2212397489661115,-5.3277859197365265,2.7964557949106377,5
17.04,12.64,11.870809705469929,7.869599047672167,12.420779754091598,5.841575795749871,6
-1.875,6.717,-1.9620057032367366,-1.215018686283217,-0.5840547190414888,0.4347931686441584,7
7.816,2.383,-1.474801747586407,5.658898058902635,-2.37698192460408,10.850010568241327,8
16.49,11.35,11.706311376307331,6.939784708988085,10.811790038515426,6.292876893619744,9
-7.953,8.516,1.9825154854992253,-6.426819142330275,-0.08421500338187032,-5.758567160030158,10
8.545,18.12,6.130777032587848,15.8898269567603,9.21259074347148,13.06225841675207,11
7.403,2.693,-8.5876997397205,1.6593671474570173,-3.0236665712105255,10.323543244938104,12
-7.623,10.51,3.316041381571613,-4.921068963039503,3.0457611574424286,-5.645206278224738,13
6.039,3.028,-9.081827966954387,2.0792897377127546,-4.182499359677933,9.703091317753046,14
15.96,13.39,11.436763913843953,6.969098273288622,10.855303336550094,5.9415337387125176,15
-3.59,5.867,-3.403382389332928,-0.7425252761727433,-2.146038006375931,-0.16154367293909355,16
1.07,4.844,-4.863169996525921,4.530475798618212,-6.692758511136673,3.1368780675928276,17
7.457,19.02,6.244891793940387,16.28184336758794,9.834916640688277,13.087989503483026,18
-3.315,6.544,-1.7164219305774349,0.12861252165974568,0.022570320088960587,2.2651551309625786,19
-0.6441,6.123,-3.853941767003216,1.1236807141417402,-3.2044903741585236,2.510020906070916,20
7.091,2.143,-1.8087552473804134,5.170066061984911,-3.405536602567337,11.09185760651037,21
16.83,12.9,11.798179776881062,7.810511294376268,11.986645270754195,5.506670171360223,22
8.444,18.63,5.787272603724323,16.35211581326665,10.06795363562236,12.319978410343378,23
12.82,-0.1841,6.02257171413692,-15.3168962564355,3.614168216158249,-15.201479261775763,24
12.74,-0.7146,6.58185544750484,-14.811943825710403,4.560739566255905,-16.226139372249396,25
16.51,10.33,11.700819165919148,7.315025511752977,11.049111892153121,6.001727277378289,26
-1.833,6.926,-1.9269643709918636,-1.0069854822045428,-0.5913386450516206,1.1161842289964838,27
-4.514,9.721,3.431216628763996,-2.9691472616082293,4.501083899904587,-3.8250048812825996,28
-3.278,7.307,0.10855659750121069,-1.443333205211745,2.19101648466716,0.13512247238561348,29
0.4553,4.017,-4.401838629033246,3.6407622728461164,-5.591477821897171,3.9517311397592705,30
17.14,12.45,11.329083593104206,7.42888182736577,11.1868815912498,5.291209870914666,31
-6.162,9.316,2.5934466435650214,-4.0353062715417005,3.1620114340079803,-4.33675271834925,32
1.282,5.004,-6.593334524418988,3.920884076129808,-6.28497547967305,5.272366458515374,33
-4.052,12.07,1.7077868296841008,-4.736300286281691,0.8267981304420012,-4.164998834987434,34
-1.028,3.74,-4.847987501408734,2.6960231695288557,-5.374440144132278,2.4729557577173393,35
-2.123,4.263,-4.279364912297406,2.0628095302695173,-3.5798706517921906,3.646998101810662,36
1.014,2.183,-6.331390707280316,6.203046980869188,-9.27436871392598,5.1299750152628105,37
-2.632,9.441,0.20116265258582663,-2.925569828975783,1.3097403539908905,-1.872580831905158,38
-6.403,8.532,1.1163302972057683,-4.371642407405958,0.7363914741767424,-3.838677233119758,39
1.515,0.8287,-6.242306082036175,6.849354926120653,-10.409255455564164,4.665045196155755,40
13.4,-1.392,6.705612809870563,-15.75594597719966,2.968207885195114,-16.666523283382208,41
16.63,12.33,11.939512403223835,6.757682028781786,10.783961821962691,6.920849973301141,42
6.689,8.792,-3.8118189261218682,-10.900297936428176,-4.443248699735306,-3.50557596053675,43
-5.957,7.611,1.2866957499721867,-3.2098372545128924,2.4350879682792206,-2.682861631770881,44
4.929,5.793,-1.4589755223056453,10.124861899387254,-7.8712148175941925,0.4179830494920893,45
-5.82,7.323,0.5254175080993994,-3.9388931360131365,0.53557716744075,-2.9916709121663887,46
